상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
10027626,장모님치킨가창점,가창점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,27,대구광역시,27710,달성군,2771031000,가창면,2771031024,가창면,2771031024101200001,1,대지,120,1,대구광역시 달성군 가창면 냉천리 120-1,277103148001,대구광역시 달성군 가창면 가창동로,6,,2771031024101200004036858,,대구광역시 달성군 가창면 가창동로 6,711861,42938,,1,,128.644458591419,35.7826625402814
10098244,짱구피자치킨,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41250,동두천시,4125056500,불현동,4125010300,생연동,4125010300102680011,1,대지,268,11,경기도 동두천시 생연동 268-11,412503189006,경기도 동두천시 못골로,30,,4125010300102680011008557,,경기도 동두천시 못골로 30,483030,11320,,,,127.06590346074,37.9012616518346
10099459,쭈노치킨,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41570,김포시,4157025300,고촌읍,4157025324,고촌읍,4157025324105380008,1,대지,538,8,경기도 김포시 고촌읍 신곡리 538-8,415704427512,경기도 김포시 고촌읍 장차로13번길,18,,4157025324105380008019970,,경기도 김포시 고촌읍 장차로13번길 18,415811,10126,,1,,126.769859060814,37.6037515030602
10136167,치킨뱅이,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,42,강원도,42130,원주시,4213059000,단계동,4213011000,단계동,4213011000108300006,1,대지,830,6,강원도 원주시 단계동 830-6,421304457083,강원도 원주시 금불3길,5,,4213011000108300006022278,,강원도 원주시 금불3길 5,220938,26423,,1,,127.932025388709,37.3483579547022
10136346,치킨월드율량점,율량점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,43,충청북도,43114,청주시 청원구,4311454000,율량.사천동,4311410300,율량동,4311410300108060000,1,대지,806,,충청북도 청주시 청원구 율량동 806,431144508043,충청북도 청주시 청원구 공항로138번길,53,,4311111500108060000045239,,충청북도 청주시 청원구 공항로138번길 53,363818,28328,,1,,127.487585541514,36.6698161542425
10150151,KFC,수원이마트점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41113,수원시 권선구,4111368000,권선2동,4111313700,권선동,4111313700111890000,1,대지,1189,,경기도 수원시 권선구 권선동 1189,411132012008,경기도 수원시 권선구 경수대로,270,,4111313700111890000027851,할인점동,경기도 수원시 권선구 경수대로 270,441713,16585,,1,,127.020087664145,37.2501017782401
10186527,토마토두마리치킨,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,11,서울특별시,11440,마포구,1144063000,신수동,1144011300,구수동,1144011300100700001,1,대지,70,1,서울특별시 마포구 구수동 70-1,114403113023,서울특별시 마포구 토정로,195,1,1144011300100700001008546,정우빌딩,서울특별시 마포구 토정로 195-1,121130,04087,,1,,126.932820696234,37.545508849345
10208331,페리카나치킨연수우성체인점,연수우성체인점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,28,인천광역시,28185,연수구,2818576200,연수2동,2818510300,연수동,2818510300106340000,1,대지,634,,인천광역시 연수구 연수동 634,281853152021,인천광역시 연수구 원인재로,180,,2818510300106340000007257,연수우성2차아파트,인천광역시 연수구 원인재로 180,406765,21931,,2,,126.683928104747,37.4122665635834
10208355,페리카나치킨벽산분점,벽산분점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,42,강원도,42130,원주시,4213059000,단계동,4213011000,단계동,4213011000108130012,1,대지,813,12,강원도 원주시 단계동 813-12,421304457083,강원도 원주시 금불3길,34,,4213011000108130012022273,,강원도 원주시 금불3길 34,220938,26423,,1,,127.93187697793,37.3502141596654
10208360,페리카나치킨,송천점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,45,전라북도,45113,전주시 덕진구,4511364100,송천1동,4511312100,송천동1가,4511312100101070143,1,대지,107,143,전라북도 전주시 덕진구 송천동1가 107-143,451134601338,전라북도 전주시 덕진구 오송1길,15,,4511312100101070143016691,,전라북도 전주시 덕진구 오송1길 15,561816,54823,,,,127.128483752173,35.8631606134181
10231561,피자앤닭컴,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41281,고양시 덕양구,4128160000,관산동,4128111900,내유동,4128111900109030014,1,대지,903,14,경기도 고양시 덕양구 내유동 903-14,412814379207,경기도 고양시 덕양구 통일로1267번길,12,,4128111900109030014007802,,경기도 고양시 덕양구 통일로1267번길 12,412520,10262,,,,126.842370394144,37.7250861314577
10242205,하림치킨,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,48,경상남도,48270,밀양시,4827034000,산내면,4827034028,산내면,4827034028111160004,1,대지,1116,4,경상남도 밀양시 산내면 남명리 1116-4,482703336029,경상남도 밀양시 산내면 산내로,1134,,4827034028111160004000237,,경상남도 밀양시 산내면 산내로 1134,627832,50415,,,,128.952863807002,35.5878569482513
10274423,핫썬치킨옥동점,옥동점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,47,경상북도,47170,안동시,4717065000,옥동,4717013300,옥동,4717013300107870006,1,대지,787,6,경상북도 안동시 옥동 787-6,471704721489,경상북도 안동시 복주1길,92,,4717013300107870006027092,,경상북도 안동시 복주1길 92,760310,36661,,1,,128.701658516225,36.5633746443297
10398264,BHC치킨,강북점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,42,강원도,42110,춘천시,4211070500,신사우동,4211011900,사농동,4211011900100320003,1,대지,32,3,강원도 춘천시 사농동 32-3,421104454187,강원도 춘천시 마장길,62,,4211011900100320003012141,,강원도 춘천시 마장길 62,200140,24221,,,,127.730540190041,37.9093809548376
10407416,치킨아이,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,29,광주광역시,29170,북구,2917066900,일곡동,2917012700,일곡동,2917012700108160003,1,대지,816,3,광주광역시 북구 일곡동 816-3,291704286581,광주광역시 북구 우치로537번길,10,1,2917012700108160003015135,동아아파트,광주광역시 북구 우치로537번길 10-1,500795,61031,,,,126.899570717972,35.2126556214737
10423599,더화덕,중동점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,48,경상남도,48121,창원시 의창구,4812151000,의창동,4812110300,서상동,4812110300106680010,1,대지,668,10,경상남도 창원시 의창구 서상동 668-10,481214781529,경상남도 창원시 의창구 의창대로254번길,19,,4812110200103710009067614,,경상남도 창원시 의창구 의창대로254번길 19,641500,51370,,,,128.625322165672,35.2595259139192
10446382,월드양념통닭,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,26,부산광역시,26380,사하구,2638058000,장림1동,2638010500,장림동,2638010500106410130,1,대지,641,130,부산광역시 사하구 장림동 641-130,263804202433,부산광역시 사하구 장림시장3길,80,,2638010500106410130018701,,부산광역시 사하구 장림시장3길 80,604040,49476,,,,128.967851385835,35.0806599306185
10482089,BBQ치킨,진접센트레빌점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41360,남양주시,4136025300,진접읍,4136025325,진접읍,4136025325107640000,1,대지,764,,경기도 남양주시 진접읍 부평리 764,413603197029,경기도 남양주시 진접읍 부평로,32,,4136025325107640000000016,진접센트레빌시티1단지상가,경기도 남양주시 진접읍 부평로 32,472856,12022,,,,127.200193095712,37.7401667347414
10623611,치킨마루,현대시장점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,11,서울특별시,11620,관악구,1162060500,은천동,1162010100,봉천동,1162010100117080000,1,대지,1708,,서울특별시 관악구 봉천동 1708,116203005083,서울특별시 관악구 봉천로,387,,1162010100117080000040043,두산아파트,서울특별시 관악구 봉천로 387,151782,08750,2,,,126.9427601496,37.484309081691
10663586,교촌치킨,신개금점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,26,부산광역시,26230,부산진구,2623074000,개금1동,2623011100,개금동,2623011100102010006,1,대지,201,6,부산광역시 부산진구 개금동 201-6,262302006015,부산광역시 부산진구 가야대로,475,,2623011100102010037024141,,부산광역시 부산진구 가야대로 475,614110,47268,,1,,129.024050678641,35.1534913537491
10797221,새때치킨대산점,대산점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,48,경상남도,48121,창원시 의창구,4812132000,대산면,4812132024,대산면,4812132024103800001,1,대지,380,1,경상남도 창원시 의창구 대산면 가술리 380-1,481214781001,경상남도 창원시 의창구 대산면 가술길,5,8,4812132024103800001037798,,경상남도 창원시 의창구 대산면 가술길 5-8,641921,51124,,1,,128.707389819456,35.3347646151675
10843494,본스치킨,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,11,서울특별시,11440,마포구,1144060000,대흥동,1144010800,대흥동,1144010800108030000,1,대지,803,,서울특별시 마포구 대흥동 803,114403005016,서울특별시 마포구 백범로,82,,1144010800108030000013024,동양엔파트,서울특별시 마포구 백범로 82,121811,04110,,-1,,126.940577184787,37.5475699996142
10849818,치킨매니아,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,42,강원도,42790,화천군,4279034000,사내면,4279034021,사내면,4279034021104540018,1,대지,454,18,강원도 화천군 사내면 사창리 454-18,427903231009,강원도 화천군 사내면 사내로,46,1,4279034021004540018012320,치킨매니아,강원도 화천군 사내면 사내로 46-1,209834,24154,,,,127.521222953837,38.0720589580985
10862582,둘둘치킨,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41173,안양시 동안구,4117360000,호계3동,4117310400,호계동,4117310400108130000,1,대지,813,,경기도 안양시 동안구 호계동 813,411732012008,경기도 안양시 동안구 경수대로,430,,4117310400108130000007512,호계E-편한세상아파트,경기도 안양시 동안구 경수대로 430,431754,14125,,,,126.961835803531,37.36234836577
10863924,굽네치킨,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,28,인천광역시,28260,서구,2826069000,불로대곡동,2826012100,불로동,2826012100103080000,1,대지,308,,인천광역시 서구 불로동 308,282603000070,인천광역시 서구 검단로,836,,2826012100103080000031193,월드불로마트,인천광역시 서구 검단로 836,404775,22628,,,,126.690878639209,37.6186154051719
10872598,BHC치킨,평촌2호점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41173,안양시 동안구,4117362000,신촌동,4117310400,호계동,4117310400110570000,1,대지,1057,,경기도 안양시 동안구 호계동 1057,411734349094,경기도 안양시 동안구 귀인로172번길,22,,4117310400110570000004914,무궁화경남아파트상가동,경기도 안양시 동안구 귀인로172번길 22,431738,14099,,,,126.958812385952,37.3834428425545
10910446,교촌,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,28,인천광역시,28185,연수구,2818563000,옥련1동,2818510100,옥련동,2818510100103410042,1,대지,341,42,인천광역시 연수구 옥련동 341-42,281853151034,인천광역시 연수구 한나루로,175,,2818510100103410042058260,,인천광역시 연수구 한나루로 175,406050,21953,,,,126.655685860153,37.4250318142256
10915111,맛있는파닭,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,28,인천광역시,28200,남동구,2820069000,논현1동,2820011000,논현동,2820011000105770000,1,대지,577,,인천광역시 남동구 논현동 577,282004259717,인천광역시 남동구 청능대로718번길,7,,2820011000105770000016950,소래마을풍림아파트상가,인천광역시 남동구 청능대로718번길 7,405778,21670,,,,126.737250910346,37.4058830898997
10935002,보드람치킨,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,11,서울특별시,11590,동작구,1159051000,노량진1동,1159010100,노량진동,1159010100100890002,1,대지,89,2,서울특별시 동작구 노량진동 89-2,115904157061,서울특별시 동작구 노량진로14다길,9,,1159010100100890002033065,,서울특별시 동작구 노량진로14다길 9,156050,06923,,1,,126.943869128451,37.5123506360153
10944198,오븐에꾸운닭,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,48,경상남도,48270,밀양시,4827053000,삼문동,4827010400,삼문동,4827010400107360001,1,대지,736,1,경상남도 밀양시 삼문동 736-1,482703336037,경상남도 밀양시 새미리벌로,43,,4827010400107360001000002,,경상남도 밀양시 새미리벌로 43,627150,50438,가,,,128.746421959399,35.4832759119725
10944940,BBQ치킨완주3공단점,완주3공단점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,45,전라북도,45710,완주군,4571025300,봉동읍,4571025326,봉동읍,4571025326102050018,1,대지,205,18,전라북도 완주군 봉동읍 은하리 205-18,457103016033,전라북도 완주군 봉동읍 봉동로,326,,4571025326102050018008453,,전라북도 완주군 봉동읍 봉동로 326,565905,55324,,1,,127.154869564178,35.9496306555483
10983804,자담치킨앤호프카페,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,50,제주특별자치도,50130,서귀포시,5013056000,영천동,5013011100,토평동,5013011100132750003,1,대지,3275,3,제주특별자치도 서귀포시 토평동 3275-3,501304850988,제주특별자치도 서귀포시 토평공단로139번길,39,,5013011100132750003000001,,제주특별자치도 서귀포시 토평공단로139번길 39,697860,63581,,,,126.579066167871,33.2914707543777
10991930,교촌치킨,천곡점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,42,강원도,42170,동해시,4217051000,천곡동,4217010100,천곡동,4217010100110440002,1,대지,1044,2,강원도 동해시 천곡동 1044-2,421703221045,강원도 동해시 한섬로,30,,4217010100010440002012552,,강원도 동해시 한섬로 30,240809,25772,,,,129.107168314403,37.5196952907765
11040258,페리카나중곡2점,중곡2점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,11,서울특별시,11215,광진구,1121576000,중곡3동,1121510100,중곡동,1121510100101990027,1,대지,199,27,서울특별시 광진구 중곡동 199-27,112153005027,서울특별시 광진구 면목로,184,,1121510100101990027003907,,서울특별시 광진구 면목로 184,143220,04903,,1,,127.083226866766,37.5695689772023
11047099,땡큐맘치킨,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41111,수원시 장안구,4111156600,율천동,4111113300,천천동,4111113300103330000,1,대지,333,,경기도 수원시 장안구 천천동 333,411113176019,경기도 수원시 장안구 화산로,85,,4111113300103330000000001,천천푸르지오,경기도 수원시 장안구 화산로 85,440710,16420,,,,126.980543434309,37.2912088426301
11049106,이맛치킨,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41650,포천시,4165038000,이동면,4165038021,이동면,4165038021104830001,1,대지,483,1,경기도 포천시 이동면 장암리 483-1,416503213050,경기도 포천시 이동면 화동로,2134,,4165038021104830001061137,,경기도 포천시 이동면 화동로 2134,487863,11111,,1,,127.367752773463,38.038132143718
11061070,쥬라기치킨,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,11,서울특별시,11560,영등포구,1156055000,당산1동,1156011300,당산동3가,1156011300102700000,1,대지,270,,서울특별시 영등포구 당산동3가 270,115603118004,서울특별시 영등포구 당산로,122,,1156011300102700000028854,가야모텔,서울특별시 영등포구 당산로 122,150803,07259,1,,,126.897122209924,37.5252227744798
11128733,네네치킨,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,48,경상남도,48125,창원시 마산합포구,4812563000,오동동,4812510400,남성동,4812510400101240003,1,대지,124,3,경상남도 창원시 마산합포구 남성동 124-3,481253329006,경상남도 창원시 마산합포구 남성로,130,,4812510400101240003033783,,경상남도 창원시 마산합포구 남성로 130,631860,51731,,,,128.576119165565,35.2050000072448
11157227,티바두마리치킨,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,48,경상남도,48890,합천군,4889025000,합천읍,4889025021,합천읍,4889025021106160003,1,대지,616,3,경상남도 합천군 합천읍 합천리 616-3,488903348045,경상남도 합천군 합천읍 동서로,67,,4889025021106160004002369,,경상남도 합천군 합천읍 동서로 67,678804,50233,,,,128.159729667957,35.5672704560626
11232463,교촌치킨,상무1호점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,29,광주광역시,29140,서구,2914074500,치평동,2914012000,치평동,2914012000111810002,1,대지,1181,2,광주광역시 서구 치평동 1181-2,291403160023,광주광역시 서구 상무중앙로,57,,2914012000111810002003675,상무중흥S클래스상가,광주광역시 서구 상무중앙로 57,502827,61950,,,,126.847871182497,35.1521157817819
11253800,지코바양념치킨,쌍용점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,44,충청남도,44133,천안시 서북구,4413353000,쌍용1동,4413310700,쌍용동,4413310700105410017,1,대지,541,17,충청남도 천안시 서북구 쌍용동 541-17,441334550077,충청남도 천안시 서북구 다가말3길,20,,4413310700105410017057721,권이빌딩,충청남도 천안시 서북구 다가말3길 20,331090,31181,,,,127.132858731483,36.7978195302716
11278610,페리카나치킨,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41190,부천시,4119074400,상동,4119010900,상동,4119010900103930000,1,대지,393,,경기도 부천시 상동 393,411903000066,경기도 부천시 부흥로,100,,4119510900103930000002764,민영유치원,경기도 부천시 부흥로 100,420812,14596,,,,126.753376689454,37.4966718383312
11287532,자연담은치킨,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,11,서울특별시,11410,서대문구,1141058500,신촌동,1141011600,창천동,1141011600100520051,1,대지,52,51,서울특별시 서대문구 창천동 52-51,114104136244,서울특별시 서대문구 연세로7길,14,,1141011600100520051022483,,서울특별시 서대문구 연세로7길 14,120834,03788,,1,,126.936041256494,37.5577740431597
11301000,굽네치킨,성포점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41271,안산시 상록구,4127159000,성포동,4127110800,성포동,4127110800105920002,1,대지,592,2,경기도 안산시 상록구 성포동 592-2,412713190043,경기도 안산시 상록구 성포로,31,,4127110800105920002046936,안산현대1차아파트상가동,경기도 안산시 상록구 성포로 31,426773,15290,112,,,126.844979594507,37.3259162171011
11306589,교촌치킨,일곡점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,29,광주광역시,29170,북구,2917066900,일곡동,2917012700,일곡동,2917012700108500003,1,대지,850,3,광주광역시 북구 일곡동 850-3,291703162033,광주광역시 북구 설죽로,565,,2917012700108500003014601,한국아파트,광주광역시 북구 설죽로 565,500866,61036,,1,,126.897552332873,35.2100322705306
11376111,교촌치킨,별내1호점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41360,남양주시,4136057000,별내동,4136011100,별내동,4136011100110780003,1,대지,1078,3,경기도 남양주시 별내동 1078-3,413604841511,경기도 남양주시 별내5로5번길,47,,4136011100200340001000004,,경기도 남양주시 별내5로5번길 47,472501,12102,,1,,127.114661391486,37.6528220838071
11378644,BBQ치킨,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41173,안양시 동안구,4117357600,평안동,4117310300,평촌동,4117310300108970005,1,대지,897,5,경기도 안양시 동안구 평촌동 897-5,411733183008,경기도 안양시 동안구 부림로,80,,4117310300108970005004464,초원한양아파트상가동,경기도 안양시 동안구 부림로 80,431747,14069,,,,126.967180495901,37.3907968477608
11382583,노랑통닭,라페스타점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41285,고양시 일산동구,4128560000,고봉동,4128511100,설문동,4128511100101070000,1,대지,107,,경기도 고양시 일산동구 설문동 107,412854379191,경기도 고양시 일산동구 지영로147번길,82,,4128511100101070000002326,,경기도 고양시 일산동구 지영로147번길 82,410550,10254,26,,,126.822432187009,37.7169688007523
11427664,꿀닭,영등점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,45,전라북도,45140,익산시,4514064600,영등1동,4514012200,영등동,4514012200107720000,1,대지,772,,전라북도 익산시 영등동 772,451404607404,전라북도 익산시 무왕로16길,29,,4514012200107720000058397,영등우남아파트,전라북도 익산시 무왕로16길 29,570982,54638,,2,,126.977861629123,35.955662307167
11434268,에디슨DHA치킨,단계2호점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,42,강원도,42130,원주시,4213059000,단계동,4213011000,단계동,4213011000107900006,1,대지,790,6,강원도 원주시 단계동 790-6,421303219013,강원도 원주시 단구로,36,,4213011000107900006021703,,강원도 원주시 단구로 36,220937,26424,,2,,127.936780015748,37.3451255980954
11447247,BBQ치킨,김천대신점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,47,경상북도,47150,김천시,4715057500,대신동,4715010800,신음동,4715010800112730000,1,대지,1273,,경상북도 김천시 신음동 1273,471504718555,경상북도 김천시 시청6길,27,,4715010800112730000000183,덕일아파트,경상북도 김천시 시청6길 27,740979,39532,,,,128.113571629368,36.1417281686996
11448883,꿀닭,화명2호점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,26,부산광역시,26320,북구,2632054100,화명1동,2632010200,화명동,2632010200111500000,1,대지,1150,,부산광역시 북구 화명동 1150,263202132001,부산광역시 북구 금곡대로,228,,2632010200111500000002157,동원로얄듀크,부산광역시 북구 금곡대로 228,616733,46537,,5,,129.014102405939,35.2291116551421
11449025,페리카나치킨삼척당저점,삼척당저점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,42,강원도,42230,삼척시,4223057000,성내동,4223010500,당저동,4223010500101430007,1,대지,143,7,강원도 삼척시 당저동 143-7,422303224004,강원도 삼척시 대학로,45,,4223010500101430007000001,해동검도,강원도 삼척시 대학로 45,245939,25916,,1,,129.163003730797,37.4451289747249
11454601,다져스치킨,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41287,고양시 일산서구,4128753000,일산3동,4128710100,일산동,4128710100110660000,1,대지,1066,,경기도 고양시 일산서구 일산동 1066,412873194037,경기도 고양시 일산서구 후곡로,36,,4128710100110660000002769,후곡마을4단지아파트,경기도 고양시 일산서구 후곡로 36,411731,10374,,,,126.765076363699,37.6806210510391
11458090,오븐에꾸운닭,연지2호점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,26,부산광역시,26230,부산진구,2623054000,연지동,2623010600,연지동,2623010600103530001,1,대지,353,1,부산광역시 부산진구 연지동 353-1,262303129024,부산광역시 부산진구 새싹로,183,,2623010600103530001001486,세동한신아파트,부산광역시 부산진구 새싹로 183,614789,47109,,1,,129.048958169508,35.1718018920038
11459406,동키치킨,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41173,안양시 동안구,4117354000,부흥동,4117310100,비산동,4117310100111040000,1,대지,1104,,경기도 안양시 동안구 비산동 1104,411734349145,경기도 안양시 동안구 시민대로159번길,59,,4117310100111040000007402,은하수청구아파트,경기도 안양시 동안구 시민대로159번길 59,431757,14045,,2,,126.947275472665,37.3912700812457
11482381,BHC치킨,부천키다리점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41190,부천시,4119074200,신중동,4119010800,중동,4119010800111010000,1,대지,1101,,경기도 부천시 중동 1101,411903184013,경기도 부천시 옥산로,47,,4119510800111010000000632,연화마을쌍용아파트,경기도 부천시 옥산로 47,420761,14574,,,,126.780303579169,37.4980251717777
11483687,네네치킨,여의도점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,11,서울특별시,11560,영등포구,1156054000,여의동,1156011000,여의도동,1156011000100370000,1,대지,37,,서울특별시 영등포구 여의도동 37,115602118002,서울특별시 영등포구 의사당대로,110,,1156011000100370000031453,미성아파트,서울특별시 영등포구 의사당대로 110,150795,07322,,5,,126.924414010082,37.5202033823205
11484700,네네치킨,용해점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,46,전라남도,46110,목포시,4611074500,용해동,4611015900,용해동,4611015900110250000,1,대지,1025,,전라남도 목포시 용해동 1025,461104643583,전라남도 목포시 용당로331번길,88,,4611010300110250000007474,호반리젠시빌아파트,전라남도 목포시 용당로331번길 88,530717,58613,,,,126.394844764884,34.8152012894121
11498882,또래오래,중동점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41190,부천시,4119074200,신중동,4119010800,중동,4119010800111840006,1,대지,1184,6,경기도 부천시 중동 1184-6,411903184016,경기도 부천시 조마루로,278,,4119510800111840006000645,그린타운우성2차아파트,경기도 부천시 조마루로 278,420856,14581,,,,126.774547873678,37.4966050375605
11507437,에디슨DHA치킨하안점,하안점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41210,광명시,4121063400,하안4동,4121010300,하안동,4121010300100130002,1,대지,13,2,경기도 광명시 하안동 13-2,412103187042,경기도 광명시 안현로,51,,4121010300100130002009934,하안주공9단지종합상가,경기도 광명시 안현로 51,423060,14246,,1,,126.877598578096,37.4660835096817
11520493,통티닭강정,경기신곡점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41150,의정부시,4115056800,신곡2동,4115010400,신곡동,4115010400104710000,1,대지,471,,경기도 의정부시 신곡동 471,411504343085,경기도 의정부시 능곡로26번길,40,,4115010400104710000017512,신곡건영아파트,경기도 의정부시 능곡로26번길 40,480745,11747,,4,,127.062146134783,37.7400772657664
11524244,멕시칸치킨,흥건삼천점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,45,전라북도,45111,전주시 완산구,4511170300,삼천3동,4511113700,삼천동1가,4511113700103000003,1,대지,300,3,전라북도 전주시 완산구 삼천동1가 300-3,451114598164,전라북도 전주시 완산구 삼천천변1길,46,,4511113700103000003006407,흥건삼천1차아파트,전라북도 전주시 완산구 삼천천변1길 46,560799,55087,,2,,127.115297029776,35.7943033348462
